file_name,start,end,predicted_species,predicted_prob
-292444344121768335.wav,0.082,0.082,Envsp,0.983
-292444344121768335.wav,0.377,0.377,Envsp,0.998
-292444344121768335.wav,0.636,0.636,Envsp,0.942
-292444344121768335.wav,0.91,0.91,Envsp,0.959
-292444344121768335.wav,1.171,1.171,Envsp,0.773
-292444344121768335.wav,1.455,1.455,Envsp,0.95
-292444344121768335.wav,1.725,1.725,Envsp,0.934
-292444344121768335.wav,1.999,1.999,Envsp,0.82
-292444344121768335.wav,2.166,2.166,Envsp,0.9
-292444344121768335.wav,2.318,2.318,Envsp,0.867
-292444344121768335.wav,2.462,2.462,Envsp,0.914
-292444344121768335.wav,2.616,2.616,Envsp,0.918
-292444344121768335.wav,2.875,2.875,Envsp,0.983
-292444344121768335.wav,3.046,3.046,Envsp,0.937
-292444344121768335.wav,3.059,3.059,Envsp,0.745
-292444344121768335.wav,3.313,3.313,Envsp,0.963
-292444344121768335.wav,3.362,3.362,Envsp,0.824
-292444344121768335.wav,3.43,3.43,Envsp,0.965
-292444344121768335.wav,3.576,3.576,Envsp,0.946
-292444344121768335.wav,3.877,3.877,Envsp,0.969
-292444344121768335.wav,4.145,4.145,Envsp,0.961
-292444344121768335.wav,4.147,4.147,Envsp,0.959
-292444344121768335.wav,4.462,4.462,Envsp,0.984
-292444344121768335.wav,4.613,4.613,Envsp,0.909
-292444344121768335.wav,4.887,4.887,Envsp,0.986
-292444344121768335.wav,4.901,4.901,Envsp,1.0
-292444344121768335.wav,5.046,5.046,Envsp,1.0
-292444344121768335.wav,5.227,5.227,Envsp,0.996
-292444344121768335.wav,5.646,5.646,Envsp,0.967
-292444344121768335.wav,5.655,5.655,Envsp,0.744
-292444344121768335.wav,5.797,5.797,Envsp,0.951
-292444344121768335.wav,5.962,5.962,Envsp,0.963
-292444344121768335.wav,6.099,6.099,Envsp,0.935
-292444344121768335.wav,6.205,6.205,Envsp,0.974
-292444344121768335.wav,6.304,6.304,Envsp,0.708
-292444344121768335.wav,6.526,6.526,Envsp,0.863
-292444344121768335.wav,6.695,6.695,Envsp,0.917
-292444344121768335.wav,7.001,7.001,Envsp,0.901
-292444344121768335.wav,8.121,8.121,Envsp,0.897
