Filename, Start (s),End (s),Scientific name,Confidence
-5972942592132950792.wav,0,3.0,Columba livia,0.5780
-5972942592132950792.wav,0,3.0,Lophostrix cristata,0.4233
-5972942592132950792.wav,3.0,6.0,Botaurus stellaris,0.1239
-5972942592132950792.wav,6.0,9.0,Columba livia,0.3774
-5972942592132950792.wav,6.0,9.0,Columba palumbus,0.1037
-5972942592132950792.wav,9.0,12.0,Columba livia,0.6805
-5972942592132950792.wav,9.0,12.0,Lophostrix cristata,0.3131
-5972942592132950792.wav,9.0,12.0,Engine,0.2272
-5972942592132950792.wav,12.0,15.0,Columba livia,0.8389
-5972942592132950792.wav,12.0,15.0,Columba larvata,0.1405
-5972942592132950792.wav,15.0,18.0,Columba livia,0.5305
-5972942592132950792.wav,15.0,18.0,Engine,0.3932
-5972942592132950792.wav,18.0,21.0,Engine,0.1409
-5972942592132950792.wav,21.0,24.0,Columba livia,0.8729
-5972942592132950792.wav,24.0,27.0,Bubo virginianus,0.3154
-5972942592132950792.wav,24.0,27.0,Columba livia,0.1339
-5972942592132950792.wav,27.0,30.0,Columba livia,0.3380
-5972942592132950792.wav,27.0,30.0,Ducula lacernulata,0.1450
-5972942592132950792.wav,27.0,30.0,Bubo virginianus,0.1086
-5972942592132950792.wav,30.0,33.0,Columba livia,0.3818
-5972942592132950792.wav,30.0,33.0,Bubo virginianus,0.2344
-5972942592132950792.wav,33.0,36.0,Bubo virginianus,0.4529
-5972942592132950792.wav,33.0,36.0,Columba livia,0.2072
-5972942592132950792.wav,36.0,39.0,Ducula lacernulata,0.2438
-5972942592132950792.wav,36.0,39.0,Columba livia,0.2171
-5972942592132950792.wav,36.0,39.0,Bubo virginianus,0.1177
-5972942592132950792.wav,39.0,42.0,Columba livia,0.6316
-5972942592132950792.wav,39.0,42.0,Bubo virginianus,0.2409
