File name,Begin Time (s),End Time (s),Species Code,Confidence
-9118530931835999998.wav,0,3.0,Columba livia,0.5780
-9118530931835999998.wav,0,3.0,Lophostrix cristata,0.4233
-9118530931835999998.wav,3.0,6.0,Botaurus stellaris,0.1239
-9118530931835999998.wav,6.0,9.0,Columba livia,0.3774
-9118530931835999998.wav,6.0,9.0,Columba palumbus,0.1037
-9118530931835999998.wav,9.0,12.0,Columba livia,0.6805
-9118530931835999998.wav,9.0,12.0,Lophostrix cristata,0.3131
-9118530931835999998.wav,9.0,12.0,Engine,0.2272
-9118530931835999998.wav,12.0,15.0,Columba livia,0.8389
-9118530931835999998.wav,12.0,15.0,Columba larvata,0.1405
-9118530931835999998.wav,15.0,18.0,Columba livia,0.5305
-9118530931835999998.wav,15.0,18.0,Engine,0.3932
-9118530931835999998.wav,18.0,21.0,Engine,0.1409
-9118530931835999998.wav,21.0,24.0,Columba livia,0.8729
-9118530931835999998.wav,24.0,27.0,Bubo virginianus,0.3154
-9118530931835999998.wav,24.0,27.0,Columba livia,0.1339
-9118530931835999998.wav,27.0,30.0,Columba livia,0.3380
-9118530931835999998.wav,27.0,30.0,Ducula lacernulata,0.1450
-9118530931835999998.wav,27.0,30.0,Bubo virginianus,0.1086
-9118530931835999998.wav,30.0,33.0,Columba livia,0.3818
-9118530931835999998.wav,30.0,33.0,Bubo virginianus,0.2343
-9118530931835999998.wav,33.0,36.0,Bubo virginianus,0.4529
-9118530931835999998.wav,33.0,36.0,Columba livia,0.2072
-9118530931835999998.wav,36.0,39.0,Ducula lacernulata,0.2438
-9118530931835999998.wav,36.0,39.0,Columba livia,0.2171
-9118530931835999998.wav,36.0,39.0,Bubo virginianus,0.1177
-9118530931835999998.wav,39.0,42.0,Columba livia,0.6316
-9118530931835999998.wav,39.0,42.0,Bubo virginianus,0.2409
